species,eventDate,decimalLatitude,decimalLongitude
Balaenoptera musculus,2024-06-28T19:03:22Z,32.757749,-117.310638
Balaenoptera musculus,2020-09-18T11:36:16Z,34.1,-119.9
Balaenoptera musculus,2024-07-01T03:08:49Z,32.642438,-117.443848
Balaenoptera musculus,2024-07-01T03:17:31Z,32.666718,-117.449341
Balaenoptera musculus,2024-07-01T03:13:02Z,32.642438,-117.391663
Balaenoptera musculus,2024-07-09T13:09:31Z,31.89,-118.48
Balaenoptera musculus,2024-07-09T13:08:38Z,31.89,-118.48
Balaenoptera musculus,2024-07-09T13:37:45Z,31.89,-118.48
Balaenoptera musculus,2024-07-09T13:33:32Z,31.89,-118.48
Balaenoptera musculus,2024-07-09T12:57:59Z,31.893154,-118.487549
Balaenoptera musculus,2024-06-30T12:25:00Z,34.101055,-119.631237
Balaenoptera musculus,2024-06-30T13:07:54Z,34.099853,-119.607307
Balaenoptera musculus,2024-07-09T12:58:55Z,31.89,-118.48
Balaenoptera musculus,2024-07-09T13:41:59Z,31.89,-118.48
Balaenoptera musculus,2024-07-09T13:40:50Z,31.89,-118.48
Balaenoptera musculus,2024-07-02T00:00:00Z,34.2,-120
Balaenoptera musculus,2024-07-02T13:16:36Z,33.590947,-118.111915
Balaenoptera musculus,2024-06-12T13:51:31Z,33.703723,-118.353833
Balaenoptera musculus,2024-06-12T16:55:54Z,33.737037,-118.435177
Balaenoptera musculus,2024-07-09T13:43:18Z,31.89,-118.48
Balaenoptera musculus,2024-06-12T17:02:02Z,33.738703,-118.433668
Balaenoptera musculus,2024-06-30T12:53:11Z,34.104412,-119.611455
Balaenoptera musculus,2024-06-30T11:52:40Z,34.105903,-119.64512
Balaenoptera musculus,2024-06-30T13:06:38Z,34.099525,-119.60669
Balaenoptera musculus,2024-06-09T14:09:49Z,33.45404,-117.743912
Balaenoptera musculus,2024-06-30T13:07:54Z,34.099853,-119.607307
Balaenoptera musculus,2024-06-30T12:54:00Z,34.104707,-119.610508
Balaenoptera musculus,2024-06-19T12:24:02Z,34.105658,-119.475381
Balaenoptera musculus,2024-06-30T12:58:29Z,34.104802,-119.605472
Balaenoptera musculus,2024-07-09T14:46:07Z,32.14,-119.17
Balaenoptera musculus,2024-07-09T14:44:34Z,32.144,-119.17
Balaenoptera musculus,2024-07-09T14:47:51Z,32.14,-119.17
Balaenoptera musculus,2024-06-02T11:59:10Z,32.707307,-117.349091
Balaenoptera musculus,2024-07-09T14:47:37Z,32.14,-119.17
Balaenoptera musculus,2024-07-09T15:12:55Z,32.14,-119.17
Balaenoptera musculus,2024-07-09T14:28:21Z,31.973935,-118.967247
Balaenoptera musculus,2024-06-02T11:11:47Z,32.875767,-117.290039
Balaenoptera musculus,2024-07-09T14:42:57Z,32.14,-119.17
Balaenoptera musculus,2024-07-09T14:42:19Z,32.144659,-119.174194
Balaenoptera musculus,2024-05-30T12:35:44Z,32.870757,-117.314758
Balaenoptera musculus,2024-05-18T12:04:22Z,32.749565,-117.338104
Balaenoptera musculus,2024-06-12T12:00:03Z,34.104857,-119.611723
Balaenoptera musculus,2024-05-18T12:59:47Z,32.74,-117.33
Balaenoptera musculus,2024-05-18T13:02:16Z,32.74,-117.33
Balaenoptera musculus,2024-06-12T12:02:44Z,34.107797,-119.599828
Balaenoptera musculus,2024-06-12T12:02:44Z,34.105727,-119.606408
Balaenoptera musculus,2024-06-12T14:12:22Z,34.103388,-119.618859
Balaenoptera musculus,2024-06-12T12:12:37Z,34.108303,-119.605325
Balaenoptera musculus,2024-06-10T00:00:00Z,34.2,-120
Balaenoptera musculus,2024-06-12T14:12:22Z,34.103388,-119.618859
Balaenoptera musculus,2024-05-10T11:49:15Z,32.702594,-117.35321
Balaenoptera musculus,2024-05-17T12:11:41Z,32.711839,-117.342224
Balaenoptera musculus,2024-05-17T12:12:59Z,32.74267,-117.301025
Balaenoptera musculus,2024-06-12T11:57:13Z,34.104877,-119.611085
Balaenoptera musculus,2024-06-12T11:40:11Z,34.105727,-119.606408
Balaenoptera musculus,2024-06-12T12:15:46Z,34.108267,-119.605273
Balaenoptera musculus,2024-06-12T12:16:06Z,34.108338,-119.605075
Balaenoptera musculus,2024-07-09T14:48:33Z,32.14,-119.17
Balaenoptera musculus,2024-07-09T14:49:06Z,32.14,-119.17
Balaenoptera musculus,2024-07-09T14:48:52Z,32.14,-119.17
Balaenoptera musculus,2024-06-12T14:53:37Z,34.098795,-119.622737
Balaenoptera musculus,2024-07-09T13:59:58Z,31.89,-118.48
Balaenoptera musculus,2024-07-09T13:56:34Z,31.89,-118.48
Balaenoptera musculus,2024-07-09T14:07:36Z,31.89,-118.48
Balaenoptera musculus,2024-07-09T14:03:38Z,31.89,-118.48
Balaenoptera musculus,2024-07-09T13:54:17Z,31.89,-118.48
Balaenoptera musculus,2024-07-09T13:44:11Z,31.89,-118.48
Balaenoptera musculus,2024-07-09T13:56:26Z,31.89,-118.48
Balaenoptera musculus,2024-07-09T13:55:51Z,31.89,-118.48
Balaenoptera musculus,2024-07-02T16:12:34Z,33.6,-118.1
Balaenoptera musculus,2024-06-28T13:24:27Z,34.09906,-119.66834
Balaenoptera musculus,2024-06-28T12:59:04Z,34.09906,-119.66834
Balaenoptera musculus,2024-07-09T14:07:59Z,31.869831,-119.069824
Balaenoptera musculus,2024-07-04T11:42:58Z,34.092022,-119.515348
Balaenoptera musculus,2024-05-10T10:26:57Z,32.714908,-117.36969
Balaenoptera musculus,2024-05-10T10:45:19Z,32.707217,-117.366943
Balaenoptera musculus,2024-06-12T15:00:31Z,34.098682,-119.623692
Balaenoptera musculus,2024-06-12T11:45:42Z,34.10576,-119.603187
Balaenoptera musculus,2024-06-12T15:39:11Z,34.112402,-119.607222
Balaenoptera musculus,2024-07-09T14:27:05Z,31.902481,-119.371948
Balaenoptera musculus,2024-07-09T14:21:15Z,31.762472,-119.179688
Balaenoptera musculus,2024-07-10T10:44:15Z,32.14,-119.17
